latitude,longitude,accessibility_type_group_text
53.53395,-1.083333,Public Access
53.0339,-2.169389,Public Access
53.42293,-2.889145,Public Access
52.4482,0.05245917,Public Access
51.0156,-4.225239,Private
53.0339,-2.169389,Public Access
51.40676,0.4925594,Private
54.9603,-1.524379,Public Access
52.24084,-0.8643702,Public Access
53.79378,-2.288677,Private
51.40676,0.4925594,Private
53.78366,-2.228256,Public Access
51.28563,-1.097112,Public Access
53.59412,-2.406896,Private
52.4781,-0.7333745,Public Access
51.66993,-0.407794,Private
51.00901,-0.9262733,Public Access
52.96382,-1.234909,Private
51.42329,-0.3101096,Public Access
54.9603,-1.524379,Public Access
52.208,0.1360701,Public Access
51.46626,-0.20055,Public Access
52.58827,-0.7303942,Public Access
54.97677,-1.607515,Public Access
52.58827,-0.7303942,Public Access
52.58827,-0.7303942,Private
52.58827,-0.7303942,Private
52.58827,-0.7303942,Public Access
52.58827,-0.7303942,Private
54.97677,-1.607515,Public Access
54.97677,-1.607515,Public Access
52.58827,-0.7303942,Public Access
52.58827,-0.7303942,Private
54.97677,-1.607515,Public Access
52.58827,-0.7303942,Public Access
52.58827,-0.7303942,Public Access
52.43254,-1.479612,Private
51.41967,-0.7469774,Public Access
51.41967,-0.7469774,Public Access
51.41967,-0.7469774,Private
51.41967,-0.7469774,Private
51.41967,-0.7469774,Public Access
51.41967,-0.7469774,Private
51.41967,-0.7469774,Private
51.41967,-0.7469774,Private
51.41967,-0.7469774,Private
51.41967,-0.7469774,Private
52.45342,1.43715,Public Access
53.59641,-2.222724,Public Access
53.59641,-2.222724,Public Access
53.59641,-2.222724,Public Access
53.59641,-2.222724,Public Access
53.59641,-2.222724,Public Access
52.26551,-1.186915,Public Access
52.26551,-1.186915,Public Access
52.26551,-1.186915,Public Access
52.5763,-2.131385,Public Access
52.5763,-2.131385,Public Access
52.49819,-1.986693,Private
51.46379,0.08354446,Private
52.49819,-1.986693,Private
53.37381,-2.870052,Public Access
52.03605,0.7143133,Public Access
51.33745,-0.1374024,Private
51.46739,-0.389475,Private
51.46739,-0.389475,Private
53.49017,-2.977535,Public Access
51.33745,-0.1374024,Private
52.41338,-1.919412,Public Access
51.44445,-0.3630206,Public Access
53.51141,-2.235888,Public Access
51.46739,-0.389475,Private
51.478,-0.3228137,Private
51.46739,-0.389475,Private
52.41338,-1.919412,Public Access
51.46739,-0.389475,Private
55.75967,-2.025542,Public Access
51.46739,-0.389475,Private
51.46739,-0.389475,Private
53.45178,-2.763147,Public Access
53.76505,-0.3868604,Private
53.45178,-2.763147,Public Access
51.12839,-1.786073,Public Access
